ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099529	MF	GO:0099529	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	8/539	53/28171	7.09138724162097e-06	8.77981277534025e-05	6.5226544302629e-05	Grik1/Gria2/Glrb/Grin3a/Gabra2/Gabra4/Gabrb1/Grid2	8
GO:0051932	BP	GO:0051932	synaptic transmission, GABAergic	10/531	68/28564	5.0119610937258e-07	9.01268533148222e-05	8.28913193891122e-05	Nalcn/Grik1/Bdnf/Nlgn1/Slitrk3/Cnr1/Gabrg1/Gabra2/Gabra4/Cntnap2	10
GO:0005230	MF	GO:0005230	extracellular ligand-gated monoatomic ion channel activity	9/539	71/28171	8.34925628441956e-06	0.000100967750416236	7.50104542565968e-05	Grik1/Gria2/Glrb/Grin3a/Gabrg1/Gabra2/Gabra4/Gabrb1/Grid2	9
GO:0043235	CC	GO:0043235	receptor complex	23/542	419/28585	6.33634357277386e-06	0.000105395736898729	7.95728249543946e-05	Gfra2/Slitrk5/Itgbl1/Grik1/Olfm1/Lrp1b/Nlgn1/Pex5l/Gria2/Olfm3/Bmpr1b/Grin3a/Kctd8/Gabrg1/Gabra2/Gabra4/Gabrb1/Epha5/Calcr/Plxna4/Grid2/Lrrtm4/Grm7	23
GO:0062023	CC	GO:0062023	collagen-containing extracellular matrix	22/542	390/28585	6.54180435923147e-06	0.000105395736898729	7.95728249543946e-05	Serpina3k/Fgf10/Ang6/Ang4/Gpc5/Angpt1/Plxdc2/Col5a1/Sema6d/Col11a1/Adamtsl1/Ptn/Try4/Try10/Prss3/Gm5771/Prss1/Prss2/Reg2/Reg1/Reg3g/Fbln2	22
GO:0099054	BP	GO:0099054	presynapse assembly	9/531	54/28564	6.2660381745217e-07	0.000105627811250045	9.7147834598375e-05	Pcdh17/Slitrk5/Ntng2/Nlgn1/Slitrk3/Ptprd/Pclo/Grid2/Lrrtm1	9
GO:0120254	BP	GO:0120254	olefinic compound metabolic process	15/531	169/28564	6.89737876676378e-07	0.000105627811250045	9.7147834598375e-05	Cyp2c67/Cyp2c68/Cyp2c40/Sdr16c5/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	15
GO:0006690	BP	GO:0006690	icosanoid metabolic process	14/531	147/28564	6.91055356559014e-07	0.000105627811250045	9.7147834598375e-05	Cyp2c67/Cyp2c68/Cyp2c40/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	14
GO:1901890	BP	GO:1901890	positive regulation of cell junction assembly	13/531	127/28564	7.55975473972212e-07	0.000110048429711098	0.000101213558445102	Slitrk5/Bdnf/Syndig1/Nlgn1/Slitrk3/Lingo2/Ptprd/Adgrl3/Cntnap2/Grid2/Lrrtm1/Lrrtm4/Lrrn1	13
GO:0032305	BP	GO:0032305	positive regulation of icosanoid secretion	7/531	29/28564	8.07378733639374e-07	0.000112188944942526	0.000103182229547884	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0150034	CC	GO:0150034	distal axon	22/542	397/28585	8.65392454976481e-06	0.0001320862168122	9.97238950887026e-05	Pcsk1/Hcn1/Pcdh9/Grik1/Dynlt1c/Dbh/Olfm1/Slc4a10/Zfp804a/Bdnf/Gria2/Kcna3/Kcna2/Unc5c/Cnr1/Elavl4/Pclo/Chrm2/Dgki/Lrrtm1/Reg1/Grm7	22
GO:0019228	BP	GO:0019228	neuronal action potential	9/531	57/28564	1.00891781801959e-06	0.00013409833781243	0.000123332699859511	Hcn1/Scn2a/Scn1a/Scn9a/Scn7a/Kcna2/Dpp6/Kcnd2/Cntnap2	9
GO:0060078	BP	GO:0060078	regulation of postsynaptic membrane potential	13/531	132/28564	1.17684917543433e-06	0.000149901163720948	0.000137866848578294	Hcn1/Fgf14/Rims2/Grik1/Bdnf/Nlgn1/Pclo/Gabrg1/Gabra2/Gabra4/Dgki/Cntnap2/Grid2	13
GO:0034329	BP	GO:0034329	cell junction assembly	26/531	477/28564	1.2610639251769e-06	0.000154202896770631	0.000141823231332526	2610042L04Rik/Pcdh17/Slitrk5/Cdh9/Cdh10/Cdh12/Cdh18/Ntng2/Bdnf/Syndig1/Nlgn1/Slitrk3/Ugt8a/Negr1/Lingo2/Ptprd/Elavl2/Pclo/Magi2/Gabra2/Adgrl3/Cntnap2/Grid2/Lrrtm1/Lrrtm4/Lrrn1	26
GO:0006691	BP	GO:0006691	leukotriene metabolic process	7/531	31/28564	1.31715733582277e-06	0.000154381972823852	0.000141987930861873	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0050832	BP	GO:0050832	defense response to fungus	9/531	59/28564	1.36353067263461e-06	0.000154381972823852	0.000141987930861873	Ang6/Ang4/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e	9
GO:0020037	MF	GO:0020037	heme binding	13/539	160/28171	1.35332281016431e-05	0.000159938150292146	0.000118820447686675	Cyp2c67/Cyp2c68/Cyp2c40/Cyp7b1/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1	13
GO:1901072	BP	GO:1901072	glucosamine-containing compound catabolic process	5/531	12/28564	1.54913913729597e-06	0.000169132797954063	0.000155554535177351	Chil5/Chia1/Chil3/Chil4/Chil6	5
GO:0071805	BP	GO:0071805	potassium ion transmembrane transport	16/531	207/28564	1.87065032856252e-06	0.000197192346703987	0.000181361416609455	Slc24a4/Hcn1/Nalcn/Kcnh8/Kcnj3/Slc24a3/Kcnd3/Kcna3/Kcna2/Kcna10/Slc24a2/Dpp6/Kcnip4/Kcnd2/Kel/Crbn	16
GO:0099172	BP	GO:0099172	presynapse organization	9/531	62/28564	2.09526934312771e-06	0.000213507946064714	0.000196367172473478	Pcdh17/Slitrk5/Ntng2/Nlgn1/Slitrk3/Ptprd/Pclo/Grid2/Lrrtm1	9
GO:0043194	CC	GO:0043194	axon initial segment	6/542	29/28585	1.48161256859236e-05	0.000214833822445892	0.000162197586456426	Scn2a/Scn1a/Kcna2/Lrrc7/Adam22/Cntnap2	6
GO:0008328	CC	GO:0008328	ionotropic glutamate receptor complex	7/542	44/28585	1.76870650340639e-05	0.000244249945708501	0.000184406492585729	Grik1/Olfm1/Gria2/Olfm3/Grin3a/Grid2/Lrrtm4	7
GO:0032303	BP	GO:0032303	regulation of icosanoid secretion	7/531	34/28564	2.56768168011075e-06	0.00024529384050308	0.000225601242354468	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:2000193	BP	GO:2000193	positive regulation of fatty acid transport	7/531	34/28564	2.56768168011075e-06	0.00024529384050308	0.000225601242354468	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0007409	BP	GO:0007409	axonogenesis	26/531	498/28564	2.77562075606431e-06	0.000257123413675412	0.000236481117685735	Slitrk5/Epha6/Chodl/Olfm1/Ntng2/Tbr1/Lrrc4c/Bdnf/Sema6d/Bhlhe22/Slitrk3/Ntng1/Plppr4/Unc5c/Bmpr1b/Dab1/Sema3a/Epha5/Plxna4/Kel/Cntnap2/Atoh1/Ctnna2/Chl1/Cntn6/Cntn4	26
GO:0005267	MF	GO:0005267	potassium channel activity	11/539	122/28171	2.35492306100529e-05	0.000272124442605055	0.000202165324769343	Hcn1/Grik1/Kcnh8/Kcnj3/Gria2/Kcnd3/Kcna3/Kcna2/Kcna10/Kcnip4/Kcnd2	11
GO:0046906	MF	GO:0046906	tetrapyrrole binding	13/539	169/28171	2.42456013409338e-05	0.000274080710810556	0.000203618665723632	Cyp2c67/Cyp2c68/Cyp2c40/Cyp7b1/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp4a12a/Cyp4a12b/Cyp4a14/Cyp4a10/Cyp4b1	13
GO:0030534	BP	GO:0030534	adult behavior	15/531	191/28564	3.21172403875137e-06	0.00028877177607244	0.000265588696826778	Pcdh17/Klhl1/Slitrk5/Fgf14/Oxr1/Grik1/Dbh/Scn1a/Bdnf/Glrb/Dab1/Adam22/Cntnap2/Chl1/Grm7	15
GO:0007626	BP	GO:0007626	locomotory behavior	18/531	270/28564	3.59309237827681e-06	0.000313830954296921	0.000288636082477515	Klhl1/Fgf14/Oxr1/Dbh/Slc4a10/Scn1a/Glrb/Negr1/Mup1/Dab1/Elavl4/Adam22/Adgrl3/Kcnd2/Cntnap2/Lrrtm1/Chl1/Crbn	18
GO:0098878	CC	GO:0098878	neurotransmitter receptor complex	7/542	46/28585	2.3909296435506e-05	0.000315167998468034	0.000237948978879677	Grik1/Olfm1/Gria2/Olfm3/Grin3a/Grid2/Lrrtm4	7
GO:0035249	BP	GO:0035249	synaptic transmission, glutamatergic	12/531	127/28564	4.66760571460111e-06	0.000396357518598211	0.000364537276716362	Hcn1/Grik1/Nlgn1/Gria2/Plppr4/Cnr1/Grin3a/Grm3/Grm8/Dgki/Grid2/Grm7	12
GO:0008405	MF	GO:0008405	arachidonic acid 11,12-epoxygenase activity	4/539	11/28171	3.9304818036695e-05	0.000425802195397529	0.000316334829374278	Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8	4
GO:0071614	MF	GO:0071614	linoleic acid epoxygenase activity	4/539	11/28171	3.9304818036695e-05	0.000425802195397529	0.000316334829374278	Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8	4
GO:0099173	BP	GO:0099173	postsynapse organization	17/531	251/28564	5.40752681055671e-06	0.000446778634050591	0.000410910501024096	Htr1a/Ntng2/Zfp804a/Nlgn1/Dhx36/Slitrk3/Glrb/Ptprd/Sh3gl2/Magi2/Adgrl3/Epha5/Ptn/Cntnap2/Grid2/Lrrtm1/Lrrtm4	17
GO:0051966	BP	GO:0051966	regulation of synaptic transmission, glutamatergic	10/531	88/28564	5.5837577507174e-06	0.000449198616945871	0.000413136203661113	Hcn1/Grik1/Nlgn1/Gria2/Plppr4/Cnr1/Grm3/Grm8/Dgki/Grm7	10
GO:0032590	CC	GO:0032590	dendrite membrane	7/542	50/28585	4.17937386347575e-05	0.000526964530612159	0.000397853438719888	Hcn1/Gria2/Tacr3/Gabrg1/Gabra2/Gabra4/Reg1	7
GO:0099095	MF	GO:0099095	ligand-gated monoatomic anion channel activity	5/539	22/28171	5.06244409198424e-05	0.000537238964863633	0.000399122874706383	Glrb/Gabrg1/Gabra2/Gabra4/Gabrb1	5
GO:0014069	CC	GO:0014069	postsynaptic density	22/542	442/28585	4.44906223788232e-05	0.00053759502041078	0.000405879362052422	Grik1/Sorcs3/Lrrc4c/Syndig1/Ptprt/Slitrk3/Gria2/Kcnd3/Plppr4/Lrrc7/Grin3a/Pde4b/Dab1/Adam22/Grm3/Pclo/Magi2/Kcnd2/Dgki/Grid2/Ctnna2/Lrrtm4	22
GO:0009620	BP	GO:0009620	response to fungus	9/531	72/28564	7.45777161413562e-06	0.000584444867220152	0.00053752465965774	Ang6/Ang4/Clec4a4/Clec4b1/Clec4a2/Clec4b2/Clec4n/Clec4d/Clec4e	9
GO:0099084	BP	GO:0099084	postsynaptic specialization organization	8/531	55/28564	7.64729953837294e-06	0.000584444867220152	0.00053752465965774	Ntng2/Nlgn1/Slitrk3/Ptprd/Adgrl3/Cntnap2/Grid2/Lrrtm1	8
GO:0099558	BP	GO:0099558	maintenance of synapse structure	6/531	27/28564	8.52067547156978e-06	0.000635309876014361	0.000584306140810344	Rims2/Nlgn1/Sema3a/Adgrl3/Plxna4/Cntnap2	6
GO:0032589	CC	GO:0032589	neuron projection membrane	8/542	71/28585	5.91779235706291e-05	0.000686463913419298	0.000518274025376457	Hcn1/Gria2/Tacr3/Gabrg1/Gabra2/Gabra4/Cntnap2/Reg1	8
GO:0022851	MF	GO:0022851	GABA-gated chloride ion channel activity	4/539	13/28171	8.26039261614688e-05	0.000859080832079276	0.000638224018973875	Gabrg1/Gabra2/Gabra4/Gabrb1	4
GO:0050805	BP	GO:0050805	negative regulation of synaptic transmission	9/531	77/28564	1.3021014742058e-05	0.00094774385872551	0.000871657402908196	Hcn1/Pcdh17/Grik1/Sorcs3/Bdnf/Slc24a2/Dgki/Cntnap2/Grid2	9
GO:1901888	BP	GO:1901888	regulation of cell junction assembly	16/531	242/28564	1.37287089269028e-05	0.000976015423012603	0.000897659278916951	Slitrk5/Ntng2/Bdnf/Syndig1/Nlgn1/Slitrk3/Negr1/Lingo2/Ptprd/Elavl2/Adgrl3/Cntnap2/Grid2/Lrrtm1/Lrrtm4/Lrrn1	16
GO:0097106	BP	GO:0097106	postsynaptic density organization	7/531	44/28564	1.55762635200354e-05	0.00108219630865337	0.000995315786172598	Nlgn1/Slitrk3/Ptprd/Adgrl3/Cntnap2/Grid2/Lrrtm1	7
GO:0006813	BP	GO:0006813	potassium ion transport	16/531	245/28564	1.59918937214438e-05	0.00108337238570222	0.000996397445796751	Slc24a4/Hcn1/Nalcn/Kcnh8/Kcnj3/Slc24a3/Kcnd3/Kcna3/Kcna2/Kcna10/Slc24a2/Dpp6/Kcnip4/Kcnd2/Kel/Crbn	16
GO:0007214	BP	GO:0007214	gamma-aminobutyric acid signaling pathway	6/531	30/28564	1.63019724377829e-05	0.00108337238570222	0.000996397445796751	Htr1a/Bdnf/Gabrg1/Gabra2/Gabra4/Gabrb1	6
GO:0015108	MF	GO:0015108	chloride transmembrane transporter activity	10/539	120/28171	0.000107071372344732	0.00109170811018158	0.000811046308576193	Slc4a10/Ano3/Glrb/Slc26a7/Gabrg1/Gabra2/Gabra4/Gabrb1/Slc6a11/Clcn4	10
GO:0015271	MF	GO:0015271	outward rectifier potassium channel activity	4/539	14/28171	0.000113898095229617	0.00113898095229617	0.000846166011118813	Kcnd3/Kcna3/Kcna2/Kcnd2	4
GO:0019226	BP	GO:0019226	transmission of nerve impulse	10/531	101/28564	1.91664369922198e-05	0.00124663399755779	0.00114655214347635	Hcn1/Scn2a/Scn1a/Scn9a/Scn7a/Kcna2/Dpp6/Kcnd2/Cntnap2/Grm7	10
GO:0046348	BP	GO:0046348	amino sugar catabolic process	5/531	19/28564	2.04196689063126e-05	0.00130047766347078	0.00119607315019213	Chil5/Chia1/Chil3/Chil4/Chil6	5
GO:2000191	BP	GO:2000191	regulation of fatty acid transport	7/531	46/28564	2.10695556430026e-05	0.00131448227756447	0.0012089534505362	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0045759	BP	GO:0045759	negative regulation of action potential	4/531	10/28564	2.26881954966638e-05	0.00138715627266602	0.00127579305624398	Hcn1/Scn9a/Cnr1/Cntnap2	4
GO:0043679	CC	GO:0043679	axon terminus	13/542	202/28585	0.000138216269528458	0.00154164300627895	0.00116392648023965	Pcsk1/Hcn1/Grik1/Dbh/Slc4a10/Bdnf/Gria2/Kcna3/Kcna2/Pclo/Chrm2/Dgki/Grm7	13
GO:0002768	BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	17/531	283/28564	2.57284414342147e-05	0.00154219304832145	0.00141838322127528	Fpr3/Fpr-rs4/Fpr-rs3/Pde4b/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5/Clec4n/Clec4d/Clec4e	17
GO:0097091	BP	GO:0097091	synaptic vesicle clustering	5/531	20/28564	2.68108339890048e-05	0.00157616768277669	0.00144963031547838	Pcdh17/Syndig1/Nlgn1/Pclo/Magi2	5
GO:0140058	BP	GO:0140058	neuron projection arborization	6/531	33/28564	2.90041238936949e-05	0.0016729359762835	0.00153862988917695	Ntng2/Nlgn1/Ntng1/Sema3a/Ptn/Cntnap2	6
GO:0034706	CC	GO:0034706	sodium channel complex	5/542	28/28585	0.00016481950405525	0.00177028356207491	0.00133654802508741	Grik1/Scn2a/Scn1a/Scn9a/Scn7a	5
GO:0032892	BP	GO:0032892	positive regulation of organic acid transport	8/531	67/28564	3.37088779808618e-05	0.00190829703680545	0.00175509577167411	Grik1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	8
GO:0060077	CC	GO:0060077	inhibitory synapse	5/542	29/28585	0.000196070207882193	0.00203072715306557	0.00153318057291339	Rims2/Gad2/Nlgn1/Pclo/Gabra2	5
GO:0099068	BP	GO:0099068	postsynapse assembly	7/531	50/28564	3.6877451824621e-05	0.00203427166579008	0.00187095694758373	Ntng2/Nlgn1/Slitrk3/Ptprd/Magi2/Grid2/Lrrtm1	7
GO:0032890	BP	GO:0032890	regulation of organic acid transport	10/531	109/28564	3.72650354217352e-05	0.00203427166579008	0.00187095694758373	Htr1a/Grik1/Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32/Grm7	10
GO:0046456	BP	GO:0046456	icosanoid biosynthetic process	7/531	51/28564	4.20652542034969e-05	0.00225602600175597	0.00207490847603953	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:0072578	BP	GO:0072578	neurotransmitter-gated ion channel clustering	5/531	22/28564	4.41609129789958e-05	0.00232758467201362	0.00214072229703989	Htr1a/Nlgn1/Slitrk3/Glrb/Lrrtm4	5
GO:0005254	MF	GO:0005254	chloride channel activity	8/539	86/28171	0.000244725462458601	0.00240108000902778	0.00178379830630201	Ano3/Glrb/Slc26a7/Gabrg1/Gabra2/Gabra4/Gabrb1/Clcn4	8
GO:0005237	MF	GO:0005237	inhibitory extracellular ligand-gated monoatomic ion channel activity	4/539	17/28171	0.000258730766764392	0.00244618179486334	0.00181730509861305	Glrb/Gabrg1/Gabra2/Gabra4	4
GO:0099508	MF	GO:0099508	voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	4/539	17/28171	0.000258730766764392	0.00244618179486334	0.00181730509861305	Kcnj3/Scn2a/Scn1a/Kcna2	4
GO:0001518	CC	GO:0001518	voltage-gated sodium channel complex	4/542	17/28585	0.000250003738263074	0.00250003738263074	0.00188750553752157	Scn2a/Scn1a/Scn9a/Scn7a	4
GO:0022843	MF	GO:0022843	voltage-gated monoatomic cation channel activity	10/539	135/28171	0.00028174109469962	0.00258542618051896	0.00192075183856368	Hcn1/Kcnh8/Kcnj3/Kcnd3/Kcna3/Kcna2/Kcna10/Cacna2d1/Kcnd2/Grm7	10
GO:0004190	MF	GO:0004190	aspartic-type endopeptidase activity	5/539	31/28171	0.000283402485172271	0.00258542618051896	0.00192075183856368	Pip/Sval2/Sval1/Sval3/Sva	5
GO:0061134	MF	GO:0061134	peptidase regulator activity	15/539	276/28171	0.000309087496530943	0.00273125802114149	0.00202909249748771	Serpina3j/Serpina3k/Serpina3m/Ctla2b/Ctsj/Ctsq/Psmd14/Cst10/Csn2/Smr3a/Smr2/Gm7298/Mug1/Mug2/Nlrp2	15
GO:0005249	MF	GO:0005249	voltage-gated potassium channel activity	8/539	89/28171	0.000309892737014131	0.00273125802114149	0.00202909249748771	Hcn1/Kcnh8/Kcnj3/Kcnd3/Kcna3/Kcna2/Kcna10/Kcnd2	8
GO:0070001	MF	GO:0070001	aspartic-type peptidase activity	5/539	32/28171	0.000330639533577535	0.00286554262433864	0.0021288545407536	Pip/Sval2/Sval1/Sval3/Sva	5
GO:0050852	BP	GO:0050852	T cell receptor signaling pathway	11/531	138/28564	5.6853595963163e-05	0.00290406835998533	0.00267092491418171	Pde4b/Skint8/Skint7/Skint1/Skint4/Skint3/Skint9/Skint2/Skint10/Skint6/Skint5	11
GO:1904861	BP	GO:1904861	excitatory synapse assembly	6/531	37/28564	5.71652823943672e-05	0.00290406835998533	0.00267092491418171	Nlgn1/Slitrk3/Ptprd/Cntnap2/Grid2/Lrrtm1	6
GO:0034765	BP	GO:0034765	regulation of monoatomic ion transmembrane transport	23/531	492/28564	5.79483709385362e-05	0.00290406835998533	0.00267092491418171	Hcn1/Nalcn/Fgf14/Kcnh8/Kcnj3/Scn2a/Scn1a/Scn9a/Kcnd3/Kcna3/Kcna2/Kcna10/Pde4b/Cacna2d1/Dpp6/Kcnip4/G6pd2/Calcr/Kcnd2/Kel/Tcaf1/Crbn/Clec4b1	23
GO:0098985	CC	GO:0098985	asymmetric, glutamatergic, excitatory synapse	4/542	18/28585	0.000316632011413661	0.00296805259930383	0.00224085277914772	Elavl2/Sema3a/Plxna4/Cntnap2	4
GO:0016342	CC	GO:0016342	catenin complex	5/542	32/28585	0.000317274588201444	0.00296805259930383	0.00224085277914772	Cdh9/Cdh10/Cdh12/Cdh18/Ctnna2	5
GO:0061135	MF	GO:0061135	endopeptidase regulator activity	13/539	221/28171	0.000362301991309135	0.00308847599148771	0.00229447507869633	Serpina3j/Serpina3k/Serpina3m/Ctla2b/Psmd14/Cst10/Csn2/Smr3a/Smr2/Gm7298/Mug1/Mug2/Nlrp2	13
GO:0008509	MF	GO:0008509	monoatomic anion transmembrane transporter activity	10/539	140/28171	0.000377117857753042	0.00316292396825132	0.00234978359584663	Slc4a10/Ano3/Glrb/Slc26a7/Gabrg1/Gabra2/Gabra4/Gabrb1/Slc6a11/Clcn4	10
GO:0098698	BP	GO:0098698	postsynaptic specialization assembly	6/531	38/28564	6.68246789837285e-05	0.00324258799449616	0.00298226762849689	Ntng2/Nlgn1/Slitrk3/Ptprd/Grid2/Lrrtm1	6
GO:1905606	BP	GO:1905606	regulation of presynapse assembly	6/531	38/28564	6.68246789837285e-05	0.00324258799449616	0.00298226762849689	Slitrk5/Ntng2/Nlgn1/Slitrk3/Grid2/Lrrtm1	6
GO:0004890	MF	GO:0004890	GABA-A receptor activity	4/539	19/28171	0.000408760385907926	0.0033211781355019	0.00246735298730607	Gabrg1/Gabra2/Gabra4/Gabrb1	4
GO:0004970	MF	GO:0004970	ionotropic glutamate receptor activity	4/539	19/28171	0.000408760385907926	0.0033211781355019	0.00246735298730607	Grik1/Gria2/Grin3a/Grid2	4
GO:0015103	MF	GO:0015103	inorganic anion transmembrane transporter activity	10/539	142/28171	0.000422137014105479	0.00337709611284383	0.0025088952903111	Slc4a10/Ano3/Glrb/Slc26a7/Gabrg1/Gabra2/Gabra4/Gabrb1/Slc6a11/Clcn4	10
GO:0044306	CC	GO:0044306	neuron projection terminus	13/542	224/28585	0.000378752440123708	0.0034324439886211	0.00259146406400432	Pcsk1/Hcn1/Grik1/Dbh/Slc4a10/Bdnf/Gria2/Kcna3/Kcna2/Pclo/Chrm2/Dgki/Grm7	13
GO:1902711	CC	GO:1902711	GABA-A receptor complex	4/542	19/28585	0.000395080173340547	0.00347191667481087	0.00262126558388625	Gabrg1/Gabra2/Gabra4/Gabrb1	4
GO:0098685	CC	GO:0098685	Schaffer collateral - CA1 synapse	10/542	144/28585	0.000439837558952387	0.00375155564988801	0.00283239047251073	Ntng2/Lrrc4c/Gria2/Ntng1/Ptprd/Sh3gl2/Gabrb1/Adgrl3/Ptn/Dgki	10
GO:0035640	BP	GO:0035640	exploration behavior	6/531	40/28564	9.00362649251784e-05	0.00430063846681672	0.00395537604630183	Htr1a/Slc4a10/Brinp1/Lrrtm1/Chl1/Crbn	6
GO:0005253	MF	GO:0005253	monoatomic anion channel activity	8/539	97/28171	0.000555269543456014	0.00437485094844132	0.00325014230380155	Ano3/Glrb/Slc26a7/Gabrg1/Gabra2/Gabra4/Gabrb1/Clcn4	8
GO:0004866	MF	GO:0004866	endopeptidase inhibitor activity	12/539	205/28171	0.000629610242948011	0.00488652725870098	0.00363027429948028	Serpina3j/Serpina3k/Serpina3m/Ctla2b/Cst10/Csn2/Smr3a/Smr2/Gm7298/Mug1/Mug2/Nlrp2	12
GO:1902710	CC	GO:1902710	GABA receptor complex	4/542	21/28585	0.000591990186648955	0.00490506154651992	0.00370327695708219	Gabrg1/Gabra2/Gabra4/Gabrb1	4
GO:0098688	CC	GO:0098688	parallel fiber to Purkinje cell synapse	5/542	37/28585	0.000635314831598488	0.00511781392121004	0.00386390306937092	Kcnj3/Pclo/Grid2/Ctnna2/Cntn6	5
GO:0006814	BP	GO:0006814	sodium ion transport	15/531	259/28564	0.000114048834839411	0.00536380443237045	0.00493318927702132	Slc24a4/Hcn1/Nalcn/Fgf14/Slc4a10/Scn2a/Scn1a/Scn9a/Scn7a/Slc5a12/Slc24a3/Nkain3/Slc24a2/Slc5a9/Slc6a11	15
GO:0099174	BP	GO:0099174	regulation of presynapse organization	6/531	42/28564	0.000119244496544554	0.0055231882717682	0.00507977751627597	Slitrk5/Ntng2/Nlgn1/Slitrk3/Grid2/Lrrtm1	6
GO:0032309	BP	GO:0032309	icosanoid secretion	7/531	60/28564	0.000121511961012721	0.00554420992262517	0.00509911151398235	Cyp4a12a/Cyp4a12b/Cyp4a30b/Cyp4a14/Cyp4a10/Cyp4a31/Cyp4a32	7
GO:1901071	BP	GO:1901071	glucosamine-containing compound metabolic process	5/531	27/28564	0.000125384826378598	0.00563678550352019	0.0051842549730222	Chil5/Chia1/Chil3/Chil4/Chil6	5
GO:0016917	MF	GO:0016917	GABA receptor activity	4/539	22/28171	0.000737144571348094	0.00563698789854425	0.00418780275053793	Gabrg1/Gabra2/Gabra4/Gabrb1	4
GO:0032809	CC	GO:0032809	neuronal cell body membrane	5/542	38/28585	0.000720284253426544	0.00564547117550534	0.00426227950818552	Cadm2/Kcna2/Tacr3/Kcnd2/Reg1	5
GO:0015368	MF	GO:0015368	calcium:monoatomic cation antiporter activity	3/539	10/28171	0.000756121529823634	0.00569830718127956	0.00423335776422996	Slc24a4/Slc24a3/Slc24a2	3
GO:0099171	BP	GO:0099171	presynaptic modulation of chemical synaptic transmission	7/531	61/28564	0.000135088734492641	0.00598501828034789	0.00550453104240801	Htr1a/Grik1/Grin3a/Grm8/Chrm2/Dgki/Grm7	7
GO:0001508	BP	GO:0001508	action potential	11/531	154/28564	0.000152209687486753	0.00664721449495718	0.00611356504176115	Hcn1/Scn2a/Scn1a/Scn9a/Scn7a/Kcna2/Cnr1/Cacna2d1/Dpp6/Kcnd2/Cntnap2	11
GO:0032228	BP	GO:0032228	regulation of synaptic transmission, GABAergic	6/531	44/28564	0.000155504125511898	0.0066954381928151	0.00615791726081956	Nalcn/Grik1/Bdnf/Nlgn1/Cnr1/Cntnap2	6
GO:0005221	MF	GO:0005221	intracellular cyclic nucleotide activated monoatomic cation channel activity	3/539	11/28171	0.00102492779674373	0.00730023968194428	0.00542345741553351	Hcn1/Pex5l/Cngb3	3
GO:0008503	MF	GO:0008503	benzodiazepine receptor activity	3/539	11/28171	0.00102492779674373	0.00730023968194428	0.00542345741553351	Gabrg1/Gabra2/Gabra4	3
GO:0043855	MF	GO:0043855	cyclic nucleotide-gated monoatomic ion channel activity	3/539	11/28171	0.00102492779674373	0.00730023968194428	0.00542345741553351	Hcn1/Pex5l/Cngb3	3
GO:0030414	MF	GO:0030414	peptidase inhibitor activity	12/539	217/28171	0.00103414212142271	0.00730023968194428	0.00542345741553351	Serpina3j/Serpina3k/Serpina3m/Ctla2b/Cst10/Csn2/Smr3a/Smr2/Gm7298/Mug1/Mug2/Nlrp2	12
GO:0099507	MF	GO:0099507	ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential	4/539	24/28171	0.00103888026243053	0.00730023968194428	0.00542345741553351	Grik1/Gria2/Gabra2/Gabrb1	4
