ID	Description	Count	GeneRatio	geneID
GO:0031984	GO:0031984	organelle subcompartment	15	15/626	Pcsk1/Ugt3a1/Ugt3a2/Hacd1/Ryr3/Pcsk2/Pifo/Tram1l1/Sdr16c5/Triqk/Cyp4a12a/Cyp4a12b/Pclo/Caln1/Clcn4
GO:0099080	GO:0099080	supramolecular complex	14	14/626	Tpm3-rs7/Dynlt1c/Nebl/Myo3a/Col5a1/Scn1a/Zfp804a/Ryr3/Pabpc4l/Dhx36/Col11a1/Fhl5/Pde4b/Odam
GO:0031252	GO:0031252	cell leading edge	13	13/626	Hcn1/Dynlt1c/Gria2/Kcna2/Tacr3/Unc5c/Ldb2/Gabrg1/Gabra2/Gabra4/Cntnap2/Ctnna2/Reg1
GO:0044306	GO:0044306	neuron projection terminus	13	13/626	Pcsk1/Hcn1/Grik1/Dbh/Slc4a10/Bdnf/Gria2/Kcna3/Kcna2/Pclo/Chrm2/Dgki/Grm7
GO:1902494	GO:1902494	catalytic complex	12	12/626	Ugt3a1/Ugt3a2/Fbxl7/Nox3/Dynlt1c/Psmd14/Sptlc3/Pdha2/Rbm47/Cox7b2/E330014E10Rik/Crbn
GO:0005815	GO:0005815	microtubule organizing center	12	12/626	Fbxl7/Chodl/Tcp10a/Etl4/Hnmt/Dbh/Cntln/Pde4b/Agbl4/Magi2/Evc/G6pd2
GO:0030427	GO:0030427	site of polarized growth	11	11/626	Pcdh9/Dynlt1c/Olfm1/Zfp804a/Gria2/Unc5c/Cnr1/Elavl4/Pclo/Lrrtm1/Reg1
GO:0019898	GO:0019898	extrinsic component of membrane	8	8/626	Cdh9/Cdh10/Cdh12/Cdh18/Olfm1/Magi2/Dgki/Ctnna2
GO:0031256	GO:0031256	leading edge membrane	8	8/626	Hcn1/Gria2/Tacr3/Gabrg1/Gabra2/Gabra4/Cntnap2/Reg1
GO:0031975	GO:0031975	envelope	8	8/626	Fndc1/Bdnf/Cnr1/Elavl4/Gabrb1/Ugt2b37/Cabs1/Slc25a26
GO:0044304	GO:0044304	main axon	7	7/626	Dbh/Scn2a/Scn1a/Kcna2/Lrrc7/Adam22/Cntnap2
GO:0016604	GO:0016604	nuclear body	6	6/626	Rbm11/Ncam2/Fndc1/Scn1a/Bdnf/Dhx36
GO:0043194	GO:0043194	axon initial segment	6	6/626	Scn2a/Scn1a/Kcna2/Lrrc7/Adam22/Cntnap2
GO:0043198	GO:0043198	dendritic shaft	6	6/626	Hcn1/Zfp804a/Syndig1/Nlgn1/Gria2/Grm7
GO:0043204	GO:0043204	perikaryon	6	6/626	Pcsk1/Bdnf/Pcsk2/Dhx36/Gria2/Kcna2
GO:0045178	GO:0045178	basal part of cell	6	6/626	Hcn1/Slc4a10/Slc26a7/Tacstd2/Ctnna2/Reg1
GO:0140535	GO:0140535	intracellular protein-containing complex	5	5/626	Fbxl7/Psmd14/E330014E10Rik/Dgki/Crbn
GO:1990904	GO:1990904	ribonucleoprotein complex	5	5/626	Gm7324/Celf2/Pabpc4l/Elavl2/Elavl4
GO:0030017	GO:0030017	sarcomere	5	5/626	Nebl/Scn1a/Ryr3/Fhl5/Pde4b
GO:0030018	GO:0030018	Z disc	5	5/626	Nebl/Scn1a/Ryr3/Fhl5/Pde4b
GO:0030315	GO:0030315	T-tubule	5	5/626	Kcnj3/Scn2a/Scn1a/Cacna2d1/Kcnd2
GO:0031674	GO:0031674	I band	5	5/626	Nebl/Scn1a/Ryr3/Fhl5/Pde4b
GO:0044298	GO:0044298	cell body membrane	5	5/626	Cadm2/Kcna2/Tacr3/Kcnd2/Reg1
GO:0097225	GO:0097225	sperm midpiece	5	5/626	Mroh2b/Spef2/Pacrg/Fsip2/Tacr3
GO:0098862	GO:0098862	cluster of actin-based cell projections	4	4/626	Myo3a/Sis/Dab1/Grxcr1
GO:0140513	GO:0140513	nuclear protein-containing complex	3	3/626	Gm7324/Mms22l/Rbm47
GO:0140534	GO:0140534	endoplasmic reticulum protein-containing complex	3	3/626	Ugt3a1/Ugt3a2/Sptlc3
GO:0001750	GO:0001750	photoreceptor outer segment	3	3/626	Slc24a4/Cngb3/Magi2
GO:0005581	GO:0005581	collagen trimer	2	2/626	Col5a1/Col11a1
GO:0005667	GO:0005667	transcription regulator complex	2	2/626	Sdr16c5/Ldb2
GO:0098636	GO:0098636	protein complex involved in cell adhesion	2	2/626	Itgbl1/Nlgn1
GO:0000785	GO:0000785	chromatin	2	2/626	Sdr16c5/Mms22l
GO:0001917	GO:0001917	photoreceptor inner segment	2	2/626	Myo3a/Magi2
GO:0002177	GO:0002177	manchette	2	2/626	Spef2/Pacrg
GO:0032433	GO:0032433	filopodium tip	2	2/626	Myo3a/Nlgn1
GO:0033268	GO:0033268	node of Ranvier	2	2/626	Scn2a/Scn1a
GO:0034451	GO:0034451	centriolar satellite	2	2/626	Dbh/G6pd2
GO:0036457	GO:0036457	keratohyalin granule	2	2/626	Flg2/Flg
GO:0044224	GO:0044224	juxtaparanode region of axon	2	2/626	Kcna2/Cntnap2
GO:0060187	GO:0060187	cell pole	2	2/626	Pex5l/Astn2
GO:0097038	GO:0097038	perinuclear endoplasmic reticulum	2	2/626	Kcnd3/Kcnd2
GO:0097228	GO:0097228	sperm principal piece	2	2/626	Fsip2/Cabs1
GO:0097546	GO:0097546	ciliary base	2	2/626	Magi2/Clcn4
GO:0098687	GO:0098687	chromosomal region	2	2/626	Dhx36/Nlrp2
GO:0000930	GO:0000930	gamma-tubulin complex	1	1/626	Pde4b
GO:0005838	GO:0005838	proteasome regulatory particle	1	1/626	Psmd14
GO:0005875	GO:0005875	microtubule associated complex	1	1/626	Dynlt1c
GO:0008541	GO:0008541	proteasome regulatory particle, lid subcomplex	1	1/626	Psmd14
GO:0016459	GO:0016459	myosin complex	1	1/626	Myo3a
GO:0022624	GO:0022624	proteasome accessory complex	1	1/626	Psmd14
GO:0030314	GO:0030314	junctional membrane complex	1	1/626	Ryr3
GO:0031941	GO:0031941	filamentous actin	1	1/626	Myo3a
GO:0042555	GO:0042555	MCM complex	1	1/626	Mms22l
GO:0098798	GO:0098798	mitochondrial protein-containing complex	1	1/626	Pdha2
GO:0005657	GO:0005657	replication fork	1	1/626	Mms22l
GO:0016328	GO:0016328	lateral plasma membrane	1	1/626	Tacstd2
GO:0030061	GO:0030061	mitochondrial crista	1	1/626	Bdnf
GO:0030496	GO:0030496	midbody	1	1/626	Celf2
GO:0032426	GO:0032426	stereocilium tip	1	1/626	Myo3a
GO:0032432	GO:0032432	actin filament bundle	1	1/626	Nebl
GO:0033270	GO:0033270	paranode region of axon	1	1/626	Scn2a
GO:0035686	GO:0035686	sperm fibrous sheath	1	1/626	Aldoart1
GO:0042641	GO:0042641	actomyosin	1	1/626	Nebl
GO:0043196	GO:0043196	varicosity	1	1/626	Dbh
GO:0043203	GO:0043203	axon hillock	1	1/626	Htr1a
GO:0044326	GO:0044326	dendritic spine neck	1	1/626	Gria2
GO:0044327	GO:0044327	dendritic spine head	1	1/626	Gria2
GO:0070469	GO:0070469	respirasome	1	1/626	Cox7b2
GO:0090543	GO:0090543	Flemming body	1	1/626	Celf2
GO:0090734	GO:0090734	site of DNA damage	1	1/626	Mms22l
GO:0097224	GO:0097224	sperm connecting piece	1	1/626	Fsip2
GO:0097229	GO:0097229	sperm end piece	1	1/626	Fsip2
GO:0000133	GO:0000133	polarisome	0	0/626	
GO:0000408	GO:0000408	EKC/KEOPS complex	0	0/626	
GO:0000417	GO:0000417	HIR complex	0	0/626	
GO:0000444	GO:0000444	MIS12/MIND type complex	0	0/626	
GO:0000808	GO:0000808	origin recognition complex	0	0/626	
GO:0000939	GO:0000939	inner kinetochore	0	0/626	
GO:0000940	GO:0000940	outer kinetochore	0	0/626	
GO:0000974	GO:0000974	Prp19 complex	0	0/626	
GO:0001114	GO:0001114	protein-DNA-RNA complex	0	0/626	
GO:0001534	GO:0001534	radial spoke	0	0/626	
GO:0001535	GO:0001535	radial spoke head	0	0/626	
GO:0001536	GO:0001536	radial spoke stalk	0	0/626	
GO:0002096	GO:0002096	polkadots	0	0/626	
GO:0002133	GO:0002133	polycystin complex	0	0/626	
GO:0002142	GO:0002142	stereocilia ankle link complex	0	0/626	
GO:0002167	GO:0002167	VRK3/VHR/ERK complex	0	0/626	
GO:0002193	GO:0002193	MAML1-RBP-Jkappa- ICN1 complex	0	0/626	
GO:0002199	GO:0002199	zona pellucida receptor complex	0	0/626	
GO:0002929	GO:0002929	MECO complex	0	0/626	
GO:0005577	GO:0005577	fibrinogen complex	0	0/626	
GO:0005602	GO:0005602	complement component C1 complex	0	0/626	
GO:0005616	GO:0005616	larval serum protein complex	0	0/626	
GO:0005663	GO:0005663	DNA replication factor C complex	0	0/626	
GO:0005831	GO:0005831	steroid hormone aporeceptor complex	0	0/626	
GO:0005833	GO:0005833	hemoglobin complex	0	0/626	
GO:0005850	GO:0005850	eukaryotic translation initiation factor 2 complex	0	0/626	
GO:0005851	GO:0005851	eukaryotic translation initiation factor 2B complex	0	0/626	
GO:0005852	GO:0005852	eukaryotic translation initiation factor 3 complex	0	0/626	
GO:0005853	GO:0005853	eukaryotic translation elongation factor 1 complex	0	0/626	
GO:0005854	GO:0005854	nascent polypeptide-associated complex	0	0/626	
GO:0005861	GO:0005861	troponin complex	0	0/626	
GO:0005862	GO:0005862	muscle thin filament tropomyosin	0	0/626	
GO:0005885	GO:0005885	Arp2/3 protein complex	0	0/626	
GO:0005931	GO:0005931	axonemal nexin link	0	0/626	
GO:0008091	GO:0008091	spectrin	0	0/626	
GO:0008290	GO:0008290	F-actin capping protein complex	0	0/626	
GO:0008537	GO:0008537	proteasome activator complex	0	0/626	
GO:0008540	GO:0008540	proteasome regulatory particle, base subcomplex	0	0/626	
GO:0015627	GO:0015627	type II protein secretion system complex	0	0/626	
GO:0016272	GO:0016272	prefoldin complex	0	0/626	
GO:0016281	GO:0016281	eukaryotic translation initiation factor 4F complex	0	0/626	
GO:0017102	GO:0017102	methionyl glutamyl tRNA synthetase complex	0	0/626	
GO:0018444	GO:0018444	translation release factor complex	0	0/626	
GO:0019035	GO:0019035	viral integration complex	0	0/626	
GO:0019036	GO:0019036	viral transcriptional complex	0	0/626	
GO:0019773	GO:0019773	proteasome core complex, alpha-subunit complex	0	0/626	
GO:0019774	GO:0019774	proteasome core complex, beta-subunit complex	0	0/626	
GO:0019814	GO:0019814	immunoglobulin complex	0	0/626	
GO:0022623	GO:0022623	proteasome-activating nucleotidase complex	0	0/626	
GO:0030076	GO:0030076	light-harvesting complex	0	0/626	
GO:0030080	GO:0030080	B875 antenna complex	0	0/626	
GO:0030081	GO:0030081	B800-820 antenna complex	0	0/626	
GO:0030082	GO:0030082	B800-850 antenna complex	0	0/626	
GO:0030256	GO:0030256	type I protein secretion system complex	0	0/626	
GO:0030257	GO:0030257	type III protein secretion system complex	0	0/626	
GO:0030990	GO:0030990	intraciliary transport particle	0	0/626	
GO:0030991	GO:0030991	intraciliary transport particle A	0	0/626	
GO:0030992	GO:0030992	intraciliary transport particle B	0	0/626	
GO:0030993	GO:0030993	axonemal heterotrimeric kinesin-II complex	0	0/626	
GO:0031074	GO:0031074	nucleocytoplasmic transport complex	0	0/626	
GO:0031105	GO:0031105	septin complex	0	0/626	
GO:0031209	GO:0031209	SCAR complex	0	0/626	
GO:0031251	GO:0031251	PAN complex	0	0/626	
GO:0031262	GO:0031262	Ndc80 complex	0	0/626	
GO:0031389	GO:0031389	Rad17 RFC-like complex	0	0/626	
GO:0031395	GO:0031395	bursicon neuropeptide hormone complex	0	0/626	
GO:0031511	GO:0031511	Mis6-Sim4 complex	0	0/626	
GO:0031521	GO:0031521	spitzenkorper	0	0/626	
GO:0031680	GO:0031680	G-protein beta/gamma-subunit complex	0	0/626	
GO:0031838	GO:0031838	haptoglobin-hemoglobin complex	0	0/626	
GO:0032300	GO:0032300	mismatch repair complex	0	0/626	
GO:0032311	GO:0032311	angiogenin-PRI complex	0	0/626	
GO:0032766	GO:0032766	NHE3/E3KARP/ACTN4 complex	0	0/626	
GO:0032992	GO:0032992	protein-carbohydrate complex	0	0/626	
GO:0032993	GO:0032993	protein-DNA complex	0	0/626	
GO:0032994	GO:0032994	protein-lipid complex	0	0/626	
GO:0033061	GO:0033061	DNA recombinase mediator complex	0	0/626	
GO:0033104	GO:0033104	type VI protein secretion system complex	0	0/626	
GO:0033186	GO:0033186	CAF-1 complex	0	0/626	
GO:0033193	GO:0033193	Lsd1/2 complex	0	0/626	
GO:0033551	GO:0033551	monopolin complex	0	0/626	
GO:0033596	GO:0033596	TSC1-TSC2 complex	0	0/626	
GO:0034044	GO:0034044	exomer complex	0	0/626	
GO:0034270	GO:0034270	Cvt complex	0	0/626	
GO:0034464	GO:0034464	BBSome	0	0/626	
GO:0034518	GO:0034518	RNA cap binding complex	0	0/626	
GO:0034748	GO:0034748	Par3-APC-KIF3A complex	0	0/626	
GO:0034749	GO:0034749	Scrib-APC complex	0	0/626	
GO:0034750	GO:0034750	Scrib-APC-beta-catenin complex	0	0/626	
GO:0034973	GO:0034973	Sid2-Mob1 complex	0	0/626	
GO:0034996	GO:0034996	RasGAP-Fyn-Lyn-Yes complex	0	0/626	
GO:0035649	GO:0035649	Nrd1 complex	0	0/626	
GO:0035658	GO:0035658	Mon1-Ccz1 complex	0	0/626	
GO:0035693	GO:0035693	NOS2-CD74 complex	0	0/626	
GO:0035859	GO:0035859	Seh1-associated complex	0	0/626	
GO:0036038	GO:0036038	MKS complex	0	0/626	
GO:0036284	GO:0036284	tubulobulbar complex	0	0/626	
GO:0036286	GO:0036286	eisosome filament	0	0/626	
GO:0036375	GO:0036375	Kibra-Ex-Mer complex	0	0/626	
GO:0036398	GO:0036398	TCR signalosome	0	0/626	
GO:0036452	GO:0036452	ESCRT complex	0	0/626	
GO:0036454	GO:0036454	growth factor complex	0	0/626	
GO:0036501	GO:0036501	UFD1-NPL4 complex	0	0/626	
GO:0038045	GO:0038045	large latent transforming growth factor-beta complex	0	0/626	
GO:0038059	GO:0038059	IKKalpha-IKKalpha complex	0	0/626	
GO:0039658	GO:0039658	TBK1-IKKE-DDX3 complex	0	0/626	
GO:0043256	GO:0043256	laminin complex	0	0/626	
GO:0043291	GO:0043291	RAVE complex	0	0/626	
GO:0043293	GO:0043293	apoptosome	0	0/626	
GO:0043493	GO:0043493	viral terminase complex	0	0/626	
GO:0043511	GO:0043511	inhibin complex	0	0/626	
GO:0043514	GO:0043514	interleukin-12 complex	0	0/626	
GO:0043684	GO:0043684	type IV secretion system complex	0	0/626	
GO:0043850	GO:0043850	RecFOR complex	0	0/626	
GO:0044697	GO:0044697	HICS complex	0	0/626	
GO:0044777	GO:0044777	single-stranded DNA-binding protein complex	0	0/626	
GO:0044815	GO:0044815	DNA packaging complex	0	0/626	
GO:0044816	GO:0044816	Nsk1-Dlc1 complex	0	0/626	
GO:0045298	GO:0045298	tubulin complex	0	0/626	
GO:0046798	GO:0046798	viral portal complex	0	0/626	
GO:0046806	GO:0046806	viral scaffold	0	0/626	
GO:0048180	GO:0048180	activin complex	0	0/626	
GO:0055087	GO:0055087	Ski complex	0	0/626	
GO:0061574	GO:0061574	ASAP complex	0	0/626	
GO:0061696	GO:0061696	pituitary gonadotropin complex	0	0/626	
GO:0061700	GO:0061700	GATOR2 complex	0	0/626	
GO:0061702	GO:0061702	inflammasome complex	0	0/626	
GO:0061703	GO:0061703	pyroptosome complex	0	0/626	
GO:0061927	GO:0061927	TOC-TIC supercomplex I	0	0/626	
GO:0061957	GO:0061957	NVT complex	0	0/626	
GO:0062048	GO:0062048	lymphotoxin complex	0	0/626	
GO:0062049	GO:0062049	protein phosphatase inhibitor complex	0	0/626	
GO:0062073	GO:0062073	histone mRNA stem-loop binding complex	0	0/626	
GO:0062092	GO:0062092	Yae1-Lto1 complex	0	0/626	
GO:0062167	GO:0062167	complement component C1q complex	0	0/626	
GO:0070288	GO:0070288	ferritin complex	0	0/626	
GO:0070422	GO:0070422	G-protein beta/gamma-Raf-1 complex	0	0/626	
GO:0070441	GO:0070441	G-protein beta/gamma-Btk complex	0	0/626	
GO:0070695	GO:0070695	FHF complex	0	0/626	
GO:0070743	GO:0070743	interleukin-23 complex	0	0/626	
GO:0070744	GO:0070744	interleukin-27 complex	0	0/626	
GO:0070745	GO:0070745	interleukin-35 complex	0	0/626	
GO:0070826	GO:0070826	paraferritin complex	0	0/626	
GO:0070864	GO:0070864	sperm individualization complex	0	0/626	
GO:0071075	GO:0071075	CUGBP1-eIF2 complex	0	0/626	
GO:0071141	GO:0071141	SMAD protein complex	0	0/626	
GO:0071203	GO:0071203	WASH complex	0	0/626	
GO:0071563	GO:0071563	Myo2p-Vac17p-Vac8p transport complex	0	0/626	
GO:0071817	GO:0071817	MMXD complex	0	0/626	
GO:0072379	GO:0072379	ER membrane insertion complex	0	0/626	
GO:0090443	GO:0090443	FAR/SIN/STRIPAK complex	0	0/626	
GO:0090665	GO:0090665	glycoprotein complex	0	0/626	
GO:0097057	GO:0097057	TRAF2-GSTP1 complex	0	0/626	
GO:0097058	GO:0097058	CRLF-CLCF1 complex	0	0/626	
GO:0097059	GO:0097059	CNTFR-CLCF1 complex	0	0/626	
GO:0097071	GO:0097071	interferon regulatory factor complex	0	0/626	
GO:0097078	GO:0097078	FAL1-SGD1 complex	0	0/626	
GO:0097136	GO:0097136	Bcl-2 family protein complex	0	0/626	
GO:0097196	GO:0097196	Shu complex	0	0/626	
GO:0097255	GO:0097255	R2TP complex	0	0/626	
GO:0097344	GO:0097344	Rix1 complex	0	0/626	
GO:0097347	GO:0097347	TAM protein secretion complex	0	0/626	
GO:0097373	GO:0097373	MCM core complex	0	0/626	
GO:0097452	GO:0097452	GAIT complex	0	0/626	
GO:0097495	GO:0097495	H-NS-Hha complex	0	0/626	
GO:0097537	GO:0097537	Y-shaped link	0	0/626	
GO:0097619	GO:0097619	PTEX complex	0	0/626	
GO:0097710	GO:0097710	viral terminase, small subunit	0	0/626	
GO:0098046	GO:0098046	type V protein secretion system complex	0	0/626	
GO:0098561	GO:0098561	methyl accepting chemotaxis protein complex	0	0/626	
GO:0098733	GO:0098733	hemidesmosome associated protein complex	0	0/626	
GO:0098820	GO:0098820	trans-synaptic protein complex	0	0/626	
GO:0099023	GO:0099023	vesicle tethering complex	0	0/626	
GO:0099126	GO:0099126	transforming growth factor beta complex	0	0/626	
GO:0106002	GO:0106002	mCRD-mediated mRNA stability complex	0	0/626	
GO:0106003	GO:0106003	amyloid-beta complex	0	0/626	
GO:0106093	GO:0106093	EDS1 disease-resistance complex	0	0/626	
GO:0106249	GO:0106249	Nicalin-NOMO complex	0	0/626	
GO:0106333	GO:0106333	subcortical maternal complex	0	0/626	
GO:0110078	GO:0110078	TTT complex	0	0/626	
GO:0110131	GO:0110131	Aim21-Tda2 complex	0	0/626	
GO:0110142	GO:0110142	ubiquinone biosynthesis complex	0	0/626	
GO:0110157	GO:0110157	reelin complex	0	0/626	
GO:0120099	GO:0120099	procentriole replication complex	0	0/626	
GO:0120114	GO:0120114	Sm-like protein family complex	0	0/626	
GO:0120124	GO:0120124	membrane fusion priming complex	0	0/626	
GO:0120155	GO:0120155	MIH complex	0	0/626	
GO:0120171	GO:0120171	Cdc24p-Far1p-Gbetagamma complex	0	0/626	
GO:0120216	GO:0120216	matrilin complex	0	0/626	
GO:0120228	GO:0120228	outer dynein arm docking complex	0	0/626	
GO:0140007	GO:0140007	KICSTOR complex	0	0/626	
GO:0140224	GO:0140224	SLAC complex	0	0/626	
GO:0140451	GO:0140451	counting factor complex	0	0/626	
GO:0140910	GO:0140910	iRhom2/ADAM17 sheddase complex	0	0/626	
GO:0150005	GO:0150005	enzyme activator complex	0	0/626	
GO:0160055	GO:0160055	glideosome	0	0/626	
GO:0160065	GO:0160065	SIN/MEN signalling complex	0	0/626	
GO:1902695	GO:1902695	metallochaperone complex	0	0/626	
GO:1903502	GO:1903502	translation repressor complex	0	0/626	
GO:1903503	GO:1903503	ATPase inhibitor complex	0	0/626	
GO:1904090	GO:1904090	peptidase inhibitor complex	0	0/626	
GO:1905742	GO:1905742	Ras guanyl-nucleotide exchange factor complex	0	0/626	
GO:1990062	GO:1990062	RPAP3/R2TP/prefoldin-like complex	0	0/626	
GO:1990065	GO:1990065	Dxr protein complex	0	0/626	
GO:1990078	GO:1990078	replication inhibiting complex	0	0/626	
GO:1990100	GO:1990100	DnaB-DnaC complex	0	0/626	
GO:1990104	GO:1990104	DNA bending complex	0	0/626	
GO:1990112	GO:1990112	RQC complex	0	0/626	
GO:1990125	GO:1990125	DiaA complex	0	0/626	
GO:1990130	GO:1990130	GATOR1 complex	0	0/626	
GO:1990200	GO:1990200	SsuD-SsuE complex	0	0/626	
GO:1990229	GO:1990229	iron-sulfur cluster assembly complex	0	0/626	
GO:1990252	GO:1990252	Syp1 complex	0	0/626	
GO:1990298	GO:1990298	bub1-bub3 complex	0	0/626	
GO:1990315	GO:1990315	Mcs4 RR-MAPKKK complex	0	0/626	
GO:1990341	GO:1990341	thrombospondin complex	0	0/626	
GO:1990346	GO:1990346	BID-BCL-xl complex	0	0/626	
GO:1990393	GO:1990393	3M complex	0	0/626	
GO:1990423	GO:1990423	RZZ complex	0	0/626	
GO:1990463	GO:1990463	lateral cortical node	0	0/626	
GO:1990499	GO:1990499	raps-insc complex	0	0/626	
GO:1990509	GO:1990509	PYM-mago-Y14 complex	0	0/626	
GO:1990526	GO:1990526	Ste12p-Dig1p-Dig2p complex	0	0/626	
GO:1990527	GO:1990527	Tec1p-Ste12p-Dig1p complex	0	0/626	
GO:1990528	GO:1990528	Rvs161p-Rvs167p complex	0	0/626	
GO:1990533	GO:1990533	Dom34-Hbs1 complex	0	0/626	
GO:1990563	GO:1990563	extracellular exosome complex	0	0/626	
GO:1990586	GO:1990586	divisome complex	0	0/626	
GO:1990597	GO:1990597	AIP1-IRE1 complex	0	0/626	
GO:1990615	GO:1990615	Kelch-containing formin regulatory complex	0	0/626	
GO:1990630	GO:1990630	IRE1-RACK1-PP2A complex	0	0/626	
GO:1990660	GO:1990660	calprotectin complex	0	0/626	
GO:1990661	GO:1990661	S100A8 complex	0	0/626	
GO:1990665	GO:1990665	AnxA2-p11 complex	0	0/626	
GO:1990666	GO:1990666	PCSK9-LDLR complex	0	0/626	
GO:1990667	GO:1990667	PCSK9-AnxA2 complex	0	0/626	
GO:1990682	GO:1990682	CSF1-CSF1R complex	0	0/626	
GO:1990684	GO:1990684	protein-lipid-RNA complex	0	0/626	
GO:1990696	GO:1990696	USH2 complex	0	0/626	
GO:1990706	GO:1990706	MAD1 complex	0	0/626	
GO:1990727	GO:1990727	tubulin folding cofactor complex	0	0/626	
GO:1990728	GO:1990728	mitotic spindle assembly checkpoint MAD1-MAD2 complex	0	0/626	
GO:1990730	GO:1990730	VCP-NSFL1C complex	0	0/626	
GO:1990733	GO:1990733	titin-telethonin complex	0	0/626	
GO:1990745	GO:1990745	EARP complex	0	0/626	
GO:1990788	GO:1990788	GLI-SUFU complex	0	0/626	
GO:1990811	GO:1990811	MWP complex	0	0/626	
GO:1990861	GO:1990861	Ubp3-Bre5 deubiquitination complex	0	0/626	
GO:1990871	GO:1990871	Vma12-Vma22 assembly complex	0	0/626	
GO:1990909	GO:1990909	Wnt signalosome	0	0/626	
GO:1990923	GO:1990923	PET complex	0	0/626	
GO:1990957	GO:1990957	NPHP complex	0	0/626	
GO:1990964	GO:1990964	actin cytoskeleton-regulatory complex	0	0/626	
GO:0019013	GO:0019013	viral nucleocapsid	0	0/626	
GO:0019028	GO:0019028	viral capsid	0	0/626	
GO:0019033	GO:0019033	viral tegument	0	0/626	
GO:0036338	GO:0036338	viral membrane	0	0/626	
GO:0039624	GO:0039624	viral outer capsid	0	0/626	
GO:0039625	GO:0039625	viral inner capsid	0	0/626	
GO:0039626	GO:0039626	viral intermediate capsid	0	0/626	
GO:0039642	GO:0039642	virion nucleoid	0	0/626	
GO:0046727	GO:0046727	capsomere	0	0/626	
GO:0046729	GO:0046729	viral procapsid	0	0/626	
GO:0055036	GO:0055036	virion membrane	0	0/626	
GO:0098015	GO:0098015	virus tail	0	0/626	
GO:0098021	GO:0098021	viral capsid, decoration	0	0/626	
GO:0098023	GO:0098023	virus tail, tip	0	0/626	
GO:0098024	GO:0098024	virus tail, fiber	0	0/626	
GO:0098025	GO:0098025	virus tail, baseplate	0	0/626	
GO:0098026	GO:0098026	virus tail, tube	0	0/626	
GO:0098027	GO:0098027	virus tail, sheath	0	0/626	
GO:0098028	GO:0098028	virus tail, shaft	0	0/626	
GO:0098029	GO:0098029	icosahedral viral capsid, spike	0	0/626	
GO:0098030	GO:0098030	icosahedral viral capsid, neck	0	0/626	
GO:0098031	GO:0098031	icosahedral viral capsid, collar	0	0/626	
GO:0098061	GO:0098061	viral capsid, internal space	0	0/626	
GO:0000242	GO:0000242	pericentriolar material	0	0/626	
GO:0000399	GO:0000399	cellular bud neck septin structure	0	0/626	
GO:0000407	GO:0000407	phagophore assembly site	0	0/626	
GO:0000800	GO:0000800	lateral element	0	0/626	
GO:0000801	GO:0000801	central element	0	0/626	
GO:0000802	GO:0000802	transverse filament	0	0/626	
GO:0000922	GO:0000922	spindle pole	0	0/626	
GO:0000943	GO:0000943	retrotransposon nucleocapsid	0	0/626	
GO:0001400	GO:0001400	mating projection base	0	0/626	
GO:0001650	GO:0001650	fibrillar center	0	0/626	
GO:0001651	GO:0001651	dense fibrillar component	0	0/626	
GO:0001652	GO:0001652	granular component	0	0/626	
GO:0001772	GO:0001772	immunological synapse	0	0/626	
GO:0001891	GO:0001891	phagocytic cup	0	0/626	
GO:0002139	GO:0002139	stereocilia coupling link	0	0/626	
GO:0005621	GO:0005621	cellular bud scar	0	0/626	
GO:0005630	GO:0005630	dityrosine layer of spore wall	0	0/626	
GO:0005631	GO:0005631	chitosan layer of spore wall	0	0/626	
GO:0005632	GO:0005632	inner layer of spore wall	0	0/626	
GO:0005652	GO:0005652	nuclear lamina	0	0/626	
GO:0005702	GO:0005702	polytene chromosome weak point	0	0/626	
GO:0005706	GO:0005706	polytene chromosome ectopic fiber	0	0/626	
GO:0005712	GO:0005712	chiasma	0	0/626	
GO:0005713	GO:0005713	recombination nodule	0	0/626	
GO:0005726	GO:0005726	perichromatin fibrils	0	0/626	
GO:0005821	GO:0005821	intermediate layer of spindle pole body	0	0/626	
GO:0005822	GO:0005822	inner plaque of spindle pole body	0	0/626	
GO:0005823	GO:0005823	central plaque of spindle pole body	0	0/626	
GO:0005824	GO:0005824	outer plaque of spindle pole body	0	0/626	
GO:0005825	GO:0005825	half bridge of spindle pole body	0	0/626	
GO:0005930	GO:0005930	axoneme	0	0/626	
GO:0005933	GO:0005933	cellular bud	0	0/626	
GO:0009295	GO:0009295	nucleoid	0	0/626	
GO:0009418	GO:0009418	pilus shaft	0	0/626	
GO:0009419	GO:0009419	pilus tip	0	0/626	
GO:0009420	GO:0009420	bacterial-type flagellum filament	0	0/626	
GO:0009421	GO:0009421	bacterial-type flagellum filament cap	0	0/626	
GO:0009422	GO:0009422	bacterial-type flagellum hook-filament junction	0	0/626	
GO:0009424	GO:0009424	bacterial-type flagellum hook	0	0/626	
GO:0009425	GO:0009425	bacterial-type flagellum basal body	0	0/626	
GO:0009426	GO:0009426	bacterial-type flagellum basal body, distal rod	0	0/626	
GO:0009427	GO:0009427	bacterial-type flagellum basal body, distal rod, L ring	0	0/626	
GO:0009428	GO:0009428	bacterial-type flagellum basal body, distal rod, P ring	0	0/626	
GO:0009429	GO:0009429	bacterial-type flagellum basal body, proximal rod	0	0/626	
GO:0009431	GO:0009431	bacterial-type flagellum basal body, MS ring	0	0/626	
GO:0009433	GO:0009433	bacterial-type flagellum basal body, C ring	0	0/626	
